"V1","V2"
"ENSG00000179598","PLD6"
"ENSG00000179761","PIPOX"
"ENSG00000179846","NKPD1"
"ENSG00000182134","TDRKH"
"ENSG00000183098","GPC6"
"ENSG00000183207","RUVBL2"
"ENSG00000183579","ZNRF3"
"ENSG00000183648","NDUFB1"
"ENSG00000183718","TRIM52"
"ENSG00000183760","AC011443.1"
"ENSG00000184208","C22orf46"
"ENSG00000184254","ALDH1A3"
"ENSG00000184459","BPIFC"
"ENSG00000184903","IMMP2L"
"ENSG00000185015","CA13"
"ENSG00000185100","ADSSL1"
"ENSG00000185339","TCN2"
"ENSG00000185787","MORF4L1"
"ENSG00000185860","C1orf110"
"ENSG00000186081","KRT5"
"ENSG00000186453","C2orf84"
"ENSG00000186862","PDZD7"
"ENSG00000186919","ZACN"
"ENSG00000186960","C14orf23"
"ENSG00000187514","PTMA"
"ENSG00000187775","DNAH17"
"ENSG00000188051","TMEM221"
"ENSG00000188243","COMMD6"
"ENSG00000188693","CTB-161K23.1"
"ENSG00000188729","OSTN"
"ENSG00000189127","ANKRD34B"
"ENSG00000189275","AL450307.1"
"ENSG00000189325","C6orf222"
"ENSG00000196937","FAM3C"
"ENSG00000197568","HHLA3"
"ENSG00000197977","ELOVL2"
"ENSG00000198468","FLVCR1-AS1"
"ENSG00000198842","DUSP27"
"ENSG00000198883","PNMA5"
"ENSG00000198901","PRC1"
"ENSG00000203644","AC083799.1"
"ENSG00000204054","RP11-492E3.1"
"ENSG00000204396","C6orf27"
"ENSG00000204653","ASPDH"
"ENSG00000205669","ACOT6"
"ENSG00000213130","EEF1DP5"
"ENSG00000214293","AC090421.1"
"ENSG00000214381","LINC00488"
"ENSG00000215375","MYL5"
"ENSG00000215472","RPL17"
"ENSG00000219806","ATP5F1P6"
"ENSG00000221932","HEPN1"
"ENSG00000221955","SLC12A8"
"ENSG00000223891","RP5-995J12.2"
"ENSG00000224339","AL121578.5"
"ENSG00000224699","RP11-225L12.2"
"ENSG00000224812","RP11-18M11.2"
"ENSG00000225539","AC018799.1"
"ENSG00000225953","AC017096.1"
"ENSG00000225975","AC074138.3"
"ENSG00000227165","RP11-323P17.1"
"ENSG00000227540","RP11-152N13.5"
"ENSG00000228203","AC017076.4"
"ENSG00000228408","RP1-111D6.3"
"ENSG00000228999","AC068490.1"
"ENSG00000229980","AC091062.2"
"ENSG00000230084","RP4-613B23.1"
"ENSG00000230555","RP11-517P14.2"
"ENSG00000231133","HAR1B"
"ENSG00000231533","RP1-232L24.3"
"ENSG00000231721","AC058791.2"
"ENSG00000232287","SLC6A1-AS1"
"ENSG00000232496","RPL3P12"
"ENSG00000232520","AC012507.3"
"ENSG00000232533","AC093673.5"
"ENSG00000233137","RP11-220I1.1"
"ENSG00000233608","TWIST2"
"ENSG00000233927","RPS28"
"ENSG00000234111","RP11-364P22.1"
"ENSG00000234222","RP11-315I20.1"
"ENSG00000234807","RP4-794H19.2"
"ENSG00000235026","AC066593.1"
"ENSG00000235531","RP11-383H13.1"
"ENSG00000235954","TTC28-AS1"
"ENSG00000236859","AC018737.1"
"ENSG00000237248","RP11-118B22.2"
"ENSG00000237438","CECR7"
"ENSG00000240225","ZNF542"
"ENSG00000240891","PLCXD2"
"ENSG00000241570","RP11-372E1.6"
"ENSG00000241720","RP4-735C1.4"
"ENSG00000242686","RP11-1191J2.2"
"ENSG00000243777","RP11-864G5.1"
"ENSG00000245856","RP11-656E20.4"
"ENSG00000245910","SNHG6"
"ENSG00000247207","AC020928.2"
"ENSG00000247796","CTD-2366F13.1"
"ENSG00000248003","AL356356.4"
"ENSG00000248161","RP11-499E18.1"
"ENSG00000250565","ATP6V1E2"
"ENSG00000251141","RP11-53O19.1"
"ENSG00000251571","DDX3YP3"
"ENSG00000251644","RP11-442P12.1"
"ENSG00000254187","CTB-78F1.1"
"ENSG00000255087","RP11-168K9.2"
"ENSG00000255129","RP11-839D17.3"
"ENSG00000255135","RP11-111M22.3"
"ENSG00000255618","RP11-357K6.1"
"ENSG00000255622","PCDHB17"
"ENSG00000255782","Z83840.1"
"ENSG00000255953","C11orf39"
"ENSG00000257267","ZNF271"
"ENSG00000257698","RP11-620J15.3"
"ENSG00000258754","CTD-3049M7.1"
"ENSG00000259583","RP11-66B24.4"
"ENSG00000006757","PNPLA4"
"ENSG00000049883","PTCD2"
"ENSG00000062524","LTK"
