ENSG00000270021.1|CTC-203F4.2
ENSG00000278937.1|RP11-139H14.5
ENSG00000170786.12|SDR16C5
ENSG00000230510.6|PPP5D1
ENSG00000235609.7|AF127936.9
ENSG00000186340.14|THBS2
ENSG00000133466.13|C1QTNF6
ENSG00000272121.1|RP4-555D20.4
ENSG00000140798.15|ABCC12
ENSG00000204054.13|LINC00963
ENSG00000167740.9|CYB5D2
ENSG00000270681.1|RP11-372K14.2
ENSG00000137210.13|TMEM14B
ENSG00000276093.1|RP5-1017F8.2
ENSG00000214381.4|LINC00488
ENSG00000258754.7|LINC01579
ENSG00000224905.6|AP001347.6
ENSG00000198901.13|PRC1
ENSG00000205464.11|ATP6AP1L
ENSG00000224699.8|LAMTOR5-AS1
ENSG00000064270.12|ATP2C2
ENSG00000170275.14|CRTAP
ENSG00000139624.12|CERS5
ENSG00000224812.2|TMEM72-AS1
ENSG00000119487.16|MAPKAP1
ENSG00000126602.10|TRAP1
ENSG00000136802.11|LRRC8A
ENSG00000104823.8|ECH1
ENSG00000143774.16|GUK1
ENSG00000131446.16|MGAT1
ENSG00000136856.17|SLC2A8
ENSG00000125449.6|ARMC7
ENSG00000274523.4|RCC1L
ENSG00000183207.12|RUVBL2
ENSG00000178950.16|GAK
ENSG00000116353.15|MECR
ENSG00000134030.13|CTIF
ENSG00000159788.18|RGS12
ENSG00000157911.9|PEX10
ENSG00000100983.9|GSS
ENSG00000100056.11|DGCR14
ENSG00000137207.11|YIPF3
ENSG00000077549.17|CAPZB
ENSG00000148308.17|GTF3C5
ENSG00000104886.10|PLEKHJ1
ENSG00000104825.16|NFKBIB
ENSG00000183762.12|KREMEN1
ENSG00000125462.16|C1orf61
ENSG00000105698.15|USF2
ENSG00000144647.5|POMGNT2
ENSG00000171206.13|TRIM8
ENSG00000101940.17|WDR13
ENSG00000160953.15|MUM1
ENSG00000173581.7|CCDC106
